plot,tree,species,d13,h,v
29,505,1,7.8,10.2,0.025896343
29,506,3,3,5.5,0.0024988
29,508,3,5,6.8,0.007864299
29,509,3,3.1,3.7,0.002048247
29,510,3,4.9,7.5,0.008309385
29,511,3,4.5,7.3,0.006901339
29,512,3,6,8.6,0.013897346
29,513,3,6.2,8.2,0.014079731
29,514,3,7.9,8.1,0.021800791
29,515,3,5.3,7,0.009010639
29,519,3,7.8,9.9,0.026174768
29,520,3,9,11.5,0.040038436
29,521,3,3.3,5.8,0.003126399
29,522,1,10.6,13.3,0.059844523
29,523,1,9.4,12.6,0.044978461
29,524,2,12.3,12.7,0.078996404
29,529,3,3.1,5.4,0.002619292
29,530,3,4.3,4.2,0.004058737
29,531,3,6.2,6.9,0.011912297
29,532,3,8.1,8.1,0.022830781
29,533,3,6.8,8.9,0.018166361
29,534,3,7.7,8.8,0.022607929
29,535,1,10.7,9.7,0.046491691
29,536,1,18.5,13.5,0.181434324
29,537,3,19,12.5,0.168511983
29,538,1,5.9,6,0.009816011
29,539,3,4.5,6,0.005769398
29,540,3,3.6,5.3,0.003421498
29,544,3,3.7,6,0.003993102
29,545,3,2.8,5.3,0.002129016
29,546,3,3,6.2,0.002766559
29,547,1,5.2,7.9,0.009369762
29,548,3,3.5,4.4,0.002836445
29,550,1,6.6,9.7,0.017805203
29,551,1,4.4,5.9,0.005399771
29,552,3,5.2,8.6,0.010638867
29,553,1,3.8,5,0.003610385
29,554,3,2.7,4.5,0.001763291
29,555,3,6.8,9.2,0.01879884
29,556,3,2.8,4.8,0.001975302
29,557,3,12.4,13.1,0.082989606
29,558,3,10,13.3,0.05707428
30,16,1,17.9,16,0.19801137
30,17,1,20,15.3,0.236184431
30,21,1,19.5,15.7,0.230090768
30,23,1,19.7,16.2,0.241455524
30,26,1,13.7,13.2,0.098661909
30,28,1,14.5,13,0.108849265
30,29,1,11.8,12,0.067615091
30,30,1,15,13.6,0.121075261
30,32,1,17.5,14.5,0.173417472
30,34,1,13.8,13.3,0.100753252
30,38,1,18.5,16,0.211194026
30,39,1,13.5,13.4,0.097124546
30,40,1,16.6,15.4,0.165049408
30,41,1,15.3,14.4,0.132435655
30,44,1,14.8,13.6,0.117922556
30,45,1,13,14.3,0.095513725
30,47,1,15.2,13.1,0.120227219
30,49,1,12.4,11.4,0.071339371
30,52,1,16.3,11.8,0.125876242
30,53,1,15.6,14.4,0.137583414
30,57,1,9.6,9.3,0.036215781
30,59,3,10.9,12,0.05956787
30,503,1,7.3,10.2,0.022698559
30,504,1,4.5,5.3,0.005254598
30,505,1,3.6,4.5,0.003043781
30,506,3,7.9,9,0.024258753
30,507,3,4.9,5.7,0.006479027
30,508,3,5.5,6,0.008400451
